Zone;NA;EF10;a;b;EF1000;;;;            
Asie;0.57;1;9.393939394;0.060606061;0.07;;;;
Europe de l'Ouest;0.28;0.486879857024142;4.573719869;0.02950787;0.03408158999169;;;;
Europe de l'Est;0.46;0.814691224935756;7.653159992;0.049375226;0.0570283857455029;;;;
Amérique;0.35;0.618848006839573;5.81342067;0.03750594;0.0433193604787701;;;;
Reste du monde;0.59;1.04326448461756;9.80036334 ;0.063228151;0.073028513923229;;;;
Inconnue;0.44;0.779593479765352;7.323453901;0.04724809;0.0545715435835746;;;;
Asia;0.57;1;9.393939394;0.060606061;0.07;;;;
Western Europe;0.28;0.486879857024142;4.573719869;0.02950787;0.03408158999169;;;;
Eastern Europe;0.46;0.814691224935756;7.653159992;0.049375226;0.0570283857455029;;;;
America;0.35;0.618848006839573;5.81342067;0.03750594;0.0433193604787701;;;;
Rest of the world;0.59;1.04326448461756;9.80036334 ;0.063228151;0.073028513923229;;;;
Unknown;0.44;0.779593479765352;7.323453901;0.04724809;0.0545715435835746;;;;